2026-04-10 18:43:44,249 | INFO | safegate-ultra | Запуск polling...
2026-04-10 18:43:44,616 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getMe "HTTP/1.1 200 OK"
2026-04-10 18:43:44,617 | INFO | telegram.ext.Application | Application started
2026-04-10 18:43:44,709 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/deleteWebhook "HTTP/1.1 200 OK"
2026-04-10 18:43:55,111 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:43:55,604 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:43:56,334 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:43:58,612 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:43:58,777 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:00,778 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:00,891 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:06,118 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:06,546 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:16,245 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:17,402 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:17,902 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:24,161 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:24,721 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:27,804 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:27,979 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:30,524 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:30,707 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:32,803 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:32,973 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:33,535 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:33,782 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:36,624 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:36,831 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:41,520 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:41,703 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:47,705 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:48,283 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:50,609 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:50,741 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:55,566 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:55,696 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:44:58,786 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:44:58,916 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendMessage "HTTP/1.1 200 OK"
2026-04-10 18:45:05,568 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:45:06,318 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/sendDocument "HTTP/1.1 200 OK"
2026-04-10 18:45:15,717 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:45:25,816 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:45:35,958 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:45:46,088 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:45:56,188 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:46:06,289 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
2026-04-10 18:46:16,386 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8648800425:AAGyaPH97EVHPVc6oK9sboXjZRVsklgBZBk/getUpdates "HTTP/1.1 200 OK"
